name;hash;reboot_date;reboot_time;ip;or_port;fast;running;stable;v2dir;valid;exit;guard;hsdir;badexit;staledesc;authority
seele;AAoQ1DAR6kkoo19hBAX5K0QztNw;2022-08-05;23:23:16;104.53.221.159;9001;True;True;True;True;True;False;False;False;False;False;False
CalyxInstitute14;ABG9JIWtRdmE7EFZyI/AZuXjMA4;2022-08-05;18:39:19;162.247.74.201;443;True;True;True;True;True;True;True;True;False;False;False
earthpig;ABUt+rlyo/iwhkjhSnsJjMKUg+k;2022-08-05;15:05:46;41.216.189.100;9001;True;True;True;True;True;False;False;True;False;False;False
skylarkRelay;ACQOyytTWqTB4YdNdE36avLl6UE;2022-08-05;19:24:27;95.111.230.178;443;True;True;True;True;True;False;True;False;False;False;False
StarAppsMobley;ACg7VWTjBy3N2rMdbvYi3Um/Uk8;2022-08-06;00:32:19;195.15.242.99;9001;True;True;True;True;True;False;True;False;False;False;False
ForPrivacyNET;ADb6NqtDX9XQ9kBiZjaGfr+3LGg;2022-08-05;22:44:54;185.220.101.33;10133;True;True;False;True;True;True;False;False;False;False;False
dc6jgk11d;AEClsEx+MJ03y+ftsrctPhXQV8E;2022-08-06;05:22:49;51.15.75.120;444;True;True;True;True;True;False;True;False;False;False;False
suominode;AFYmkM8z9TfE9MlYdlX3Rphoxzo;2022-08-06;06:46:27;37.16.105.85;9001;True;True;True;True;True;False;True;False;False;False;False
namie;AFyL+BoOH3CNtCpXPISvAlpAb88;2022-08-05;23:47:53;109.241.109.93;443;True;True;True;True;True;False;False;False;False;False;False
Athena;AF7ZchP3JYZ+QiuNwEQzYbuyTjw;2022-08-05;21:32:59;104.244.79.75;443;True;True;True;True;True;False;True;False;False;False;False
eisbaer;AGHSKv0fBtTm81AGvT2cIdeYHqk;2022-08-05;18:59:08;109.70.100.73;8080;True;True;True;True;True;True;True;True;False;False;False
right2;AGVBE5WXY/ZTySr/B4p+w6e70tk;2022-08-05;19:05:04;174.128.250.165;80;True;True;True;True;True;False;True;True;False;False;False
Heidrun;AHGTPrFS/WnukJqQsQhN/ekfyYg;2022-08-05;20:04:19;93.174.89.130;9003;True;True;True;True;True;True;True;True;False;False;False
Quintex13;AHe8unJE2z5qXtJ0boYXAGZoSIc;2022-08-06;08:43:13;199.249.230.103;443;True;True;True;True;True;True;True;True;False;False;False
INSRelay42at8443;AIGW3ESUgsc8+pcSRFIjkX92CSE;2022-08-06;03:29:39;140.78.100.42;8443;False;True;False;True;True;False;False;False;False;False;False
mb8aku;AI3Uguym3S7tHit4FIogUpvWbkk;2022-08-06;07:16:12;209.141.33.170;443;True;True;True;True;True;False;True;False;False;False;False
BlackBeluga;AJYtLdC5vzpq8dXrIBEyOIrKFCQ;2022-08-06;06:21:01;5.189.155.39;9001;True;True;True;True;True;False;False;False;False;False;False
0x616e6f6e;AJhfcQByeAxQ5ZEWsDKLjSoIU3g;2022-08-05;20:22:20;79.110.62.244;443;True;True;True;True;True;True;True;True;False;False;False
mharelay;ALV79hT37TBRBztdRSb/CyOvIXs;2022-08-05;18:15:16;158.174.145.139;9001;True;True;False;True;True;False;False;False;False;False;False
l25;AMS5E3SseQyy84ZdLzb2LfJ/Cg8;2022-08-06;01:11:49;185.66.141.125;9001;True;True;True;False;True;False;False;False;False;False;False
effiorg1984;AMzmqE5tY6GkLhBYObyO1dSxZmk;2022-08-05;21:30:42;89.236.112.100;443;True;True;True;True;True;True;True;True;False;False;False
tried;ANLOPCFT6gl4byEF8msTjPdZQk8;2022-08-05;19:52:42;107.155.81.178;443;True;True;True;True;True;False;True;True;False;False;False
Quintex55;ANyurj5UwygJ5/fMS/Km/Gj8VS8;2022-08-05;16:10:42;199.249.230.144;443;True;True;True;True;True;True;True;True;False;False;False
dragonhoard;AOFknmn/kdfwHnSl5i7xT32ZFeQ;2022-08-06;04:46:31;116.203.50.182;8080;True;True;True;True;True;False;True;True;False;False;False
tor42IPConnectINFO;AOQh2Dh8Ox8g/bW696ill0vkBUY;2022-08-05;15:25:51;194.5.96.42;443;True;True;True;True;True;False;True;True;False;False;False
Quintex85;AOs6Esd+cPGfZqe70JTWKWmvNQ0;2022-08-05;21:25:52;199.249.230.174;443;True;True;True;True;True;True;True;True;False;False;False
IBDUUIBAD;APHyR7ORuEy2wiFyC8v8Df25ERc;2022-08-05;18:53:22;81.169.180.28;9001;True;True;True;True;True;False;True;False;False;False;False
DigiGesTor1e1;ARG6m2BGaeY2/9W1A/OCpLetboA;2022-08-05;15:16:55;185.195.71.244;443;True;True;True;True;True;True;True;True;False;False;False
motauri;ARgbMb5YYMfWbaiPiK1SLAZHD9k;2022-08-06;00:54:56;95.143.193.125;443;True;True;True;True;True;True;False;True;False;False;False
securebit;ARyLfeyAm7L6iiI9cQEFjJ9wK/E;2022-08-06;02:13:32;194.50.94.247;443;True;True;True;True;True;False;True;False;False;False;False
brandur1;ASgZ13L/rDndNrvzScTxtFm7az4;2022-08-06;07:08:55;185.216.176.210;9001;True;True;True;True;True;False;False;True;False;False;False
bang1;ATZpawJaxVA4R9c2/p89ZesnpZY;2022-08-05;19:04:17;134.209.159.74;443;True;True;True;True;True;False;True;True;False;False;False
b0rken;ATq67Y9M22d74LUhLkslg7hgNe4;2022-08-05;15:55:10;45.129.182.225;443;True;True;True;True;True;False;True;True;False;False;False
insist;AUvQljY3O3jMKLpw42xxkOPeI2o;2022-08-06;06:34:37;5.57.243.47;993;True;True;False;True;True;False;False;False;False;False;False
raspitor;AV/TpcOriWJqK5jG+8g0rWfWF0I;2022-08-05;23:01:17;86.174.108.252;443;True;True;False;False;True;False;False;False;False;False;False
d0dak;AWCT7kuumvRz/AyBGp0Q/aqco0s;2022-08-06;08:13:14;62.65.106.163;443;True;True;True;True;True;False;False;True;False;False;False
